stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,paradas_id,alcaldia
f8577d,N/A,Etiopa L2,19.39580386172431,-99.15484310065293,0,N/A,0,95,Benito Juárez
f8577e,N/A,Archivo General de la Nacin L4.,19.43547916718309,-99.1150975027048,0,N/A,0,96,Venustiano Carranza
f8577f,N/A,Pino Surez,19.42647976879665,-99.13265135925384,0,N/A,0,97,Cuauhtémoc
f85780,N/A,El ngel,19.42662910664687,-99.16865225057252,0,N/A,0,98,Cuauhtémoc
f85781,N/A,Deportivo Eduardo Molina,19.444703775537683,-99.11214477680836,0,N/A,0,99,Venustiano Carranza
f85782,N/A,lamos,19.39472362659874,-99.14292840265595,0,N/A,0,100,Benito Juárez
f85783,N/A,Campo Marte,19.427038112725555,-99.19942208052352,0,N/A,0,101,Miguel Hidalgo
f85784,N/A,Peralvillo,19.45374215771039,-99.13062880709772,0,N/A,0,102,Cuauhtémoc
f85785,N/A,El Caballito,19.43598752723021,-99.14911712743891,0,N/A,0,103,Cuauhtémoc
f85786,N/A,La Pradera,19.47309234223951,-99.06868963967442,0,N/A,0,104,Gustavo A. Madero
f85787,N/A,Necaxa,19.4755833535742,-99.1222281914489,0,N/A,0,105,Gustavo A. Madero
f85788,N/A,Plaza de la Repblica L4,19.43676089227536,-99.15416343718616,0,N/A,0,106,Cuauhtémoc
f85789,N/A,Gran Canal,19.47699305175776,-99.0927986205793,0,N/A,0,107,Gustavo A. Madero
f8578a,N/A,Hidalgo L7.,19.43665972711099,-99.14755218639137,0,N/A,0,108,Cuauhtémoc
f8578b,N/A,Hamburgo L7.,19.42923702484668,-99.16269389025892,0,N/A,0,109,Cuauhtémoc
f8578c,N/A,Ganaderos,19.35057740493938,-99.11106779038316,0,N/A,0,110,Iztapalapa
f8578d,N/A,Teatro Blanquita.,19.43866066882829,-99.14010855045186,0,N/A,0,111,Cuauhtémoc
f8578e,N/A,Antonio Maceo.,19.40488867552865,-99.18588057278964,0,N/A,0,112,Miguel Hidalgo
f8578f,N/A,Hospital Infantil La Villa L7,19.487251676336573,-99.11379524856724,0,N/A,0,113,Gustavo A. Madero
f85790,N/A,Reforma L7.,19.43113379119255,-99.15854807887996,0,N/A,0,114,Cuauhtémoc
f85791,N/A,Canal de San Juan.,19.39670924431783,-99.05653241568166,0,N/A,0,115,Benito Juárez
f85792,N/A,Garrido.,19.48336571577664,-99.11927156786729,0,N/A,0,116,Gustavo A. Madero
f85793,N/A,Glorieta de Coln L7,19.43340340464894,-99.15432247440754,0,N/A,0,117,Cuauhtémoc
f85794,N/A,Ro de los Remedios,19.50709525539293,-99.08594052810976,0,N/A,0,118,Gustavo A. Madero
f85795,N/A,Misterios,19.46252558654364,-99.12715567292256,0,N/A,0,119,Gustavo A. Madero
f85796,N/A,Victoria,19.46745710792942,-99.10291850566864,0,N/A,0,120,Gustavo A. Madero
f85797,N/A,Ro Consulado,19.45360728942292,-99.10859712211516,0,N/A,0,121,Gustavo A. Madero
f85798,N/A,Isabel la Catlica.,19.42969438643439,-99.1365829811632,0,N/A,0,122,Cuauhtémoc
f85799,N/A,Tecnoparque,19.50247870799058,-99.1789631534656,0,N/A,0,123,Azcapotzalco
f8579a,N/A,Recreo,19.39379643116733,-99.11373331370532,0,N/A,0,124,Iztacalco
f8579b,N/A,Instituto del Petrleo,19.493120426408,-99.14518007013932,0,N/A,0,125,Gustavo A. Madero
f8579c,N/A,San Lzaro Norte L5,19.43121594141721,-99.11515242426115,0,N/A,0,126,Venustiano Carranza
f8579d,N/A,De los Misterios L6,19.48709536774331,-99.11798604802378,0,N/A,0,127,Gustavo A. Madero
f8579f,N/A,Rojo Gmez,19.38448509710503,-99.07638129244675,0,N/A,0,128,Iztapalapa
f857a0,N/A,Exclsior.,19.47087054033968,-99.12393727991548,0,N/A,0,129,Gustavo A. Madero
f857a1,N/A,Poniente 146,19.50003918814673,-99.15585362780902,0,N/A,0,130,Gustavo A. Madero
f857a2,N/A,Peralvillo.,19.45272415998285,-99.13100686806467,0,N/A,0,131,Cuauhtémoc
f857a3,N/A,Museo de la Ciudad,19.42908847279102,-99.13272327093696,0,N/A,0,132,Cuauhtémoc
f857a4,N/A,El ngel.,19.42645981755745,-99.16856450980642,0,N/A,0,133,Cuauhtémoc
f857a5,N/A,Venustiano Carranza,19.41872745676672,-99.11214699343756,0,N/A,0,134,Venustiano Carranza
f857a6,N/A,Mercados de San Juan,19.43081012718926,-99.14485271341728,0,N/A,0,135,Cuauhtémoc
f857a7,N/A,Campo Marte.,19.42667137087778,-99.19942824908912,0,N/A,0,136,Miguel Hidalgo
f857a8,N/A,Jurez L4,19.43131325113527,-99.14829795870676,0,N/A,0,137,Cuauhtémoc
f857a9,N/A,Magdalena de las Salinas,19.48395379228881,-99.14983671861984,0,N/A,0,138,Gustavo A. Madero
f857aa,N/A,Del Moral.,19.38419192549233,-99.0709103865742,0,N/A,0,139,Iztapalapa
f857ab,N/A,Necaxa.,19.47558421514649,-99.12220387458328,0,N/A,0,140,Gustavo A. Madero
f857ac,N/A,Plaza de la Repblica L4.,19.43774043603285,-99.15372851855604,0,N/A,0,141,Cuauhtémoc
f857ad,N/A,El Coyol,19.487631173893107,-99.09437566995624,0,N/A,0,142,Gustavo A. Madero
f857b0,N/A,Moctezuma L5,19.42576400502085,-99.11138950983884,0,N/A,0,143,Venustiano Carranza
f857b1,N/A,Xola,19.39431958195676,-99.1401695213952,0,N/A,0,144,Benito Juárez
f857b2,N/A,Tacubaya,19.401935753664333,-99.18702244952318,0,N/A,0,145,Miguel Hidalgo
f857b3,N/A,Gustavo A. Madero L7.,19.48365291144993,-99.11387753581162,0,N/A,0,146,Gustavo A. Madero
f857b4,N/A,Tlacotal,19.39719954556777,-99.10394772701466,0,N/A,0,147,Iztacalco
f857b5,N/A,Calle 6,19.42111460450559,-99.05823243898396,0,N/A,0,148,Venustiano Carranza
f857b6,N/A,Cecilio Robelo,19.42521243215105,-99.11983707591222,0,N/A,0,149,Venustiano Carranza
f857b7,N/A,Mxico Tenochtitlan,19.438900717911,-99.15328501597789,0,N/A,0,150,Cuauhtémoc
f857b8,N/A,Pueblo de San Juan de Aragn,19.47106893633869,-99.0864483538664,0,N/A,0,151,Gustavo A. Madero
f857b9,N/A,Teatro del Pueblo,19.43690623745032,-99.1280425433411,0,N/A,0,152,Cuauhtémoc
f857ba,N/A,Muyuguarda,19.28500560533537,-99.1155517101288,0,N/A,0,153,Xochimilco
f857bb,N/A,Escuadrn 201,19.366043065031867,-99.10920292139056,0,N/A,0,154,Iztapalapa
f857bc,N/A,Isabel la Catlica,19.4296932240978,-99.13697212746824,0,N/A,0,155,Cuauhtémoc
f857bd,N/A,Patriotismo,19.40555150458669,-99.17743889458272,0,N/A,0,156,Cuauhtémoc
f857be,N/A,Metro Coyuya L2,19.398353680213265,-99.11316722631456,0,N/A,0,157,Iztacalco
f857c0,N/A,Repblica de Argentina.,19.43741414300866,-99.13148919519912,0,N/A,0,158,Cuauhtémoc
f857c1,N/A,De los Misterios L7,19.487148293692535,-99.11790728223043,0,N/A,0,159,Gustavo A. Madero
f857c2,N/A,Doctor Vrtiz,19.39558311097358,-99.15169123419294,0,N/A,0,160,Benito Juárez
f857c3,N/A,Terminal 2 AICM,19.42075,-99.07834,0,N/A,0,161,Venustiano Carranza
f857c4,N/A,Robles Domnguez,19.468559433136587,-99.12507562024804,0,N/A,0,162,Gustavo A. Madero
